2025-08-14 19:09:36,885 | INFO | olymps_service | Олимпиада успешно добавлена: {'name': 'Всероссийская олимпиада школьников «Высшая проба»', 'profile': 'финансовая грамотность', 'level': 1, 'user_tg_id': '8362964488', 'result': 1, 'year': '2025', 'is_approved': True, 'is_displayed': True}
2025-08-14 19:09:36,890 | INFO | olymps_service | Олимпиада успешно добавлена: {'name': 'Всероссийская олимпиада школьников «Высшая проба»', 'profile': 'экономика', 'level': 1, 'user_tg_id': '8362964488', 'result': 1, 'year': '2025', 'is_approved': True, 'is_displayed': True}
2025-08-14 19:09:36,893 | INFO | olymps_service | Олимпиада успешно добавлена: {'name': 'Московская олимпиада школьников', 'profile': 'обществознание', 'level': 2, 'user_tg_id': '8362964488', 'result': 0, 'year': '2025', 'is_approved': True, 'is_displayed': True}
2025-08-14 19:10:21,082 | INFO | olymps_service | Олимпиада успешно добавлена: {'name': 'Всероссийская олимпиада школьников «Высшая проба»', 'profile': 'обществознание', 'level': 1, 'user_tg_id': '8362964488', 'result': 1, 'year': '2024', 'is_approved': True, 'is_displayed': True}
2025-08-14 19:10:21,104 | INFO | olymps_service | Олимпиада успешно добавлена: {'name': 'Всероссийская олимпиада школьников «Высшая проба»', 'profile': 'финансовая грамотность', 'level': 1, 'user_tg_id': '8362964488', 'result': 1, 'year': '2024', 'is_approved': True, 'is_displayed': True}
2025-08-14 19:10:21,109 | INFO | olymps_service | Олимпиада успешно добавлена: {'name': 'Всероссийская олимпиада школьников «Высшая проба»', 'profile': 'экономика', 'level': 1, 'user_tg_id': '8362964488', 'result': 0, 'year': '2024', 'is_approved': True, 'is_displayed': True}
2025-08-14 19:10:21,120 | INFO | olymps_service | Олимпиада успешно добавлена: {'name': 'Московская олимпиада школьников', 'profile': 'обществознание', 'level': 2, 'user_tg_id': '8362964488', 'result': 0, 'year': '2024', 'is_approved': True, 'is_displayed': False}
2025-08-14 19:10:21,303 | INFO | olymps_service | Олимпиада успешно добавлена: {'name': 'Олимпиада школьников Российской академии народного хозяйства и государственной службы при Президенте Российской Федерации', 'profile': 'обществознание', 'level': 2, 'user_tg_id': '8362964488', 'result': 1, 'year': '2024', 'is_approved': True, 'is_displayed': False}
2025-08-14 19:10:21,365 | INFO | olymps_service | Олимпиада успешно добавлена: {'name': 'Всероссийская олимпиада школьников «Высшая проба»', 'profile': 'обществознание', 'level': 1, 'user_tg_id': '8362964488', 'result': 1, 'year': '2025', 'is_approved': True, 'is_displayed': False}
2025-08-14 19:10:21,376 | INFO | olymps_service | Олимпиада успешно добавлена: {'name': 'Всероссийская олимпиада школьников «Высшая проба»', 'profile': 'основы бизнеса', 'level': 2, 'user_tg_id': '8362964488', 'result': 0, 'year': '2025', 'is_approved': True, 'is_displayed': False}
2025-08-14 19:10:21,389 | INFO | olymps_service | Олимпиада успешно добавлена: {'name': 'Всероссийская олимпиада школьников «Высшая проба»', 'profile': 'социология', 'level': 1, 'user_tg_id': '8362964488', 'result': 0, 'year': '2025', 'is_approved': True, 'is_displayed': False}
2025-08-14 19:10:21,395 | INFO | olymps_service | Олимпиада успешно добавлена: {'name': 'Всероссийская олимпиада школьников «Высшая проба»', 'profile': 'финансовая грамотность', 'level': 1, 'user_tg_id': '8362964488', 'result': 1, 'year': '2025', 'is_approved': True, 'is_displayed': False}
2025-08-14 19:10:21,403 | INFO | olymps_service | Олимпиада успешно добавлена: {'name': 'Всероссийская олимпиада школьников «Высшая проба»', 'profile': 'экономика', 'level': 1, 'user_tg_id': '8362964488', 'result': 1, 'year': '2025', 'is_approved': True, 'is_displayed': False}
2025-08-14 19:10:21,409 | INFO | olymps_service | Олимпиада успешно добавлена: {'name': 'Московская олимпиада школьников', 'profile': 'обществознание', 'level': 2, 'user_tg_id': '8362964488', 'result': 0, 'year': '2025', 'is_approved': True, 'is_displayed': False}
2025-08-15 00:32:55,748 | INFO | olymps_service | Олимпиада успешно добавлена: {'name': 'Всероссийская междисциплинарная олимпиада школьников 8-11 класса «Национальная технологическая олимпиада»', 'profile': 'технологии виртуальной реальности', 'level': 3, 'user_tg_id': '1008114047', 'result': 1, 'year': '2024', 'is_approved': True, 'is_displayed': True}
2025-08-15 00:32:55,755 | INFO | olymps_service | Олимпиада успешно добавлена: {'name': 'Всероссийская междисциплинарная олимпиада школьников 8-11 класса «Национальная технологическая олимпиада»', 'profile': 'виртуальные миры: разработка компьютерных игр, технологии виртуальной реальности, технологии дополненной реальности', 'level': 3, 'user_tg_id': '1008114047', 'result': 0, 'year': '2025', 'is_approved': True, 'is_displayed': True}
